Character,Meaning
洽,"accord, to make contact, to agree, to consult with, extensive"
酉,"10th earthly branch: 5-7 p.m., 8th solar month (8th September-7th October), year of the Rooster, ancient Chinese compass point: 270° (west)"
洌,"pure, to cleanse"
植,to plant
媗,N/A
特,"special, unique, distinguished, especially, unusual, very, abbr. for 特克斯[te4 ke4 si1], tex"
瀾,swelling water
葵,used in the names of various herbaceous plants
洹,name of a river
霏,fall of snow
將,"will, shall, to use, to take, to checkmate, just a short while ago, (introduces object of main verb, used in the same way as 把[ba3]); (bound form) a general, (literary) to command; to lead, (Chinese chess) general (on the black side, equivalent to a king in Western chess); to desire, to invite, to request"
史,"surname Shi; history, annals, title of an official historian in ancient China"
盡,"to use up, to exhaust, to end, to finish, to the utmost, exhausted, finished, to the limit (of sth), all, entirely"
夫,"husband, man, manual worker, conscripted laborer (old); (classical) this, that, he, she, they, (exclamatory final particle), (initial particle, introduces an opinion)"
堉,fertile soil
府,"seat of government, government repository (archive), official residence, mansion, presidential palace, (honorific) Your home, prefecture (from Tang to Qing times)"
斐,"phonetic fei or fi, (literary) rich with literary elegance, phi (Greek letter Φ, φ)"
圓,"circle, round, circular, spherical, (of the moon) full, unit of Chinese currency (yuan), tactful, to make consistent and whole (the narrative of a dream or a lie)"
優,"excellent, superior"
苗,"Hmong or Miao ethnic group of southwest China, surname Miao; sprout"
嫣,(literary) lovely; sweet
鍇,high quality iron
枚,"surname Mei; classifier for small objects: coins, badges, rings, carved seals, chess pieces, eggs, fingerprints etc (more formal than 個|个[ge4]), classifier for bombs, missiles, satellites etc, (on product packaging) classifier for flat items (from Japanese 枚 ""mai""), (old) stick used as a gag to prevent soldiers from talking while sneaking up on the enemy"
王,"surname Wang; king or monarch, best or strongest of its type, grand, great; (literary) (of a monarch) to reign over (a kingdom)"
坊,"surname Fang; lane (usually as part of a street name), memorial archway; workshop, mill, Taiwan pr. [fang1]"
是,"to be (followed by substantives only), correct; right; true, (respectful acknowledgement of a command) very well, (adverb for emphatic assertion); variant of 是[shi4]"
异,"different, other, hetero-, unusual, strange, surprising, to distinguish, to separate, to discriminate"
音,"sound, noise, note (of musical scale), tone, news, syllable, reading (phonetic value of a character)"
炤,"surname Zhao; variant of 照[zhao4], to shine, to illuminate"
姲,N/A
荔,variant of 荔[li4]; litchi
皆,"all, each and every, in all cases"
壁,"wall, rampart"
楦,"(wooden) shoe last, variant of 楦[xuan4]; to block (a hat), to stretch (a shoe)"
團,"round, lump, ball, to roll into a ball, to gather, regiment, group, society, classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)"
杭,"surname Hang, abbr. for Hangzhou 杭州[Hang2 zhou1]"
伭,"surname Xian; (literary) cruel; ruthless, (literary) dark red; black; variant of 玄[xuan2], variant of 懸|悬[xuan2]"
橫,"horizontal, across, crosswise, horizontal stroke (in Chinese characters), to place (sth) flat (on a surface), to cross (a river, etc), in a jumble, chaotic, (in fixed expressions) harsh and unreasonable, violent; harsh and unreasonable, unexpected"
提,"used in 提防[di1 fang5] and 提溜[di1 liu5]; to carry (hanging down from the hand), to lift, to put forward, to mention, to raise (an issue), upwards character stroke, lifting brush stroke (in painting), scoop for measuring liquid"
杵,"pestle, to poke"
歆,"pleased, moved"
嶫,variant of 嶪[ye4]
銆,N/A
蔡,surname Cai
久,(of a period of time) long
棣,Kerria japonica
拓,"surname Tuo; to make a rubbing (e.g. of an inscription); to expand, to push sth with the hand, to develop, to open up"
薀,hippuris or mare's tail
韜,"bow case or scabbard, to hide, military strategy"
閩,"short name for Fujian province 福建[Fu2 jian4], also pr. [Min2]"
証,"to admonish, variant of 證|证[zheng4]"
詳,"detailed, comprehensive"
桀,"(emperor of Xia dynasty), cruel"
璁,stone similar to jade
甲,"first of the ten Heavenly Stems 十天干[shi2 tian1 gan1], (used for an unspecified person or thing), first (in a list, as a party to a contract etc), letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc, armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit in the baojia 保甲[bao3 jia3] system (old), ancient Chinese compass point: 75°"
行,"(bound form) row; line, (bound form) line of business; trade; profession, (bound form) commercial firm, (bound form) to rank (first, second etc) among one's siblings (by age), (in data tables) row; (Tw) column, classifier for rows or lines; used in 道行[dao4 heng2]; (bound form) to walk; to go; to travel, (literary) trip; journey; visit, (bound form) temporary; makeshift, (bound form) current; in circulation, (bound form) to do; to perform, capable; competent, all right; OK!; will do, behavior; conduct (Taiwan pr. [xing4]), (literary) about to; soon"
勗,"exhort, stimulate"
鏞,large bell
炉,"stove, furnace; variant of 爐|炉[lu2]"
沆,"a ferry, fog, flowing"
澹,"surname Tan; tranquil, placid, quiet"
約,"to weigh in a balance or on a scale; to make an appointment, to invite, approximately, pact, treaty, to economize, to restrict, to reduce (a fraction), concise"
石,"surname Shi, abbr. for Shijiazhuang 石家莊|石家庄[Shi2 jia1 zhuang1], the capital of Hebei; dry measure for grain equal to ten dou 斗[dou3]; one hundred liters, ancient pr. [shi2]; rock, stone, stone inscription, one of the eight categories of ancient musical instruments 八音[ba1 yin1]"
倢,handsome
柚,"pomelo (Citrus maxima or C. grandis), shaddock, oriental grapefruit"
棊,variant of 棋[qi2]
渠,"surname Qu; how can it be that?; (artificial) stream; canal; drain; ditch (CL:條|条[tiao2]), (literary) big; great, (dialect) he; she; him; her, (old) rim of a carriage wheel; felloe"
蒂,stem (of fruit); variant of 蒂[di4]
朱,surname Zhu; vermilion; (bound form) cinnabar
遊,"to walk, to tour, to roam, to travel"
鶯,oriole or various birds of the Sylvidae family including warblers
籽,seeds
夷,"non-Han people, esp. to the East of China, barbarians, to wipe out, to exterminate, to tear down, to raze"
鎂,magnesium (chemistry)
晋,"surname Jin, the Jin Dynasties (265–420), Western Jin 西晉|西晋[Xi1 Jin4] (265–316), Eastern Jin 東晉|东晋[Dong1 Jin4] (317–420) and Later Jin Dynasty (936–946), short name for Shanxi province 山西[Shan1 xi1]; to move forward, to promote, to advance"
籐,variant of 藤[teng2]
綿,"silk floss, continuous, soft, weak, mild-mannered (dialect)"
凰,used in 鳳凰|凤凰[feng4 huang2]
娣,wife of a younger brother
芙,"used in 芙蓉[fu2 rong2], lotus"
嬅,"beautiful, used in girls' names"
晧,N/A
浠,name of a river in Hubei
畹,a field of 20 or 30 mu
蘋,used in 蘋果|苹果[ping2 guo3]; clover fern (Marsilea quadrifolia)
銨,ammonium
譜,"chart, list, table, register, score (music), spectrum (physics), to set to music"
争,"to strive for, to vie for, to argue or debate, deficient or lacking (dialect), how or what (literary)"
瓏,tinkling of gem-pendants
澐,river waves
滙,variant of 匯|汇[hui4]
鏗,"(onom.) clang, jingling of metals, to strike"
曄,"bright light, to sparkle"
繡,to embroider; embroidery
函,"envelope, case, letter; variant of 函[han2]"
璘,luster of gem
贈,"to give as a present, to repel, to bestow an honorary title after death (old)"
崙,used in 崑崙|昆仑[Kun1 lun2]
燐,variant of 磷[lin2]
从,"variant of 從|从[cong2]; surname Cong; from; through; via, (bound form) to follow, (bound form) to obey, (bound form) to engage in (an activity), (used before a negative) ever, (bound form) (Taiwan pr. [zong4]) retainer; attendant, (bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate, (bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor"
曦,(literary) sunlight (usu. in early morning)
紓,"abundant, ample, at ease, relaxed, to free from, to relieve"
岸,variant of 岸[an4]; bank; shore; beach; coast
圳,"(dialect) drainage ditch between fields (Taiwan pr. [zun4]), used in place names, notably 深圳[Shen1 zhen4]"
鑨,N/A
鄭,"Zheng, a Zhou-dynasty state in the vicinity of present-day Xinzheng 新鄭|新郑[Xin1 zheng4], a county-level city in Henan, abbr. for Zhengzhou 鄭州|郑州[Zheng4 zhou1], the capital of Henan, surname Zheng; used in 鄭重|郑重[zheng4 zhong4]"
黛,umber-black dye for painting the eyebrow
恬,"quiet, calm, tranquil, peaceful"
堡,"(bound form) fortress; stronghold, (often used to transliterate -berg, -burg etc in place names), (bound form) burger (abbr. for 漢堡|汉堡[han4 bao3]); village (used in place names); variant of 鋪|铺[pu4], used in place names"
菊,(bound form) chrysanthemum
繕,"to repair, to mend, to rewrite, to transcribe"
扶,"to support with the hand, to help sb up, to support oneself by holding onto something, to help"
桑,surname Sang; (bound form) mulberry tree; old variant of 桑[sang1]
慎,"careful, cautious; old variant of 慎[shen4]"
洛,"surname Luo, old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui); used in transliteration"
胡,"surname Hu; non-Han people, esp. from central Asia, reckless, outrageous, what?, why?, to complete a winning hand at mahjong (also written 和[hu2]); used in 衚衕|胡同[hu2 tong4]; beard, mustache, whiskers"
虹,rainbow
汎,variant of 泛[fan4]
謄,to transcribe; to copy out
蒨,luxuriant growth
衣,"clothes, CL:件[jian4], Kangxi radical 145; to dress, to wear, to put on (clothes)"
倖,"trusted, intimate, (of the emperor) to visit, variant of 幸[xing4]"
狄,"surname Di, generic name for northern ethnic minorities during the Qin and Han Dynasties (221 BC-220 AD); low ranking public official (old)"
瑰,"(semiprecious stone), extraordinary; old variant of 瑰[gui1]"
晶,crystal
匡,"surname Kuang; (literary) to rectify, (literary) to assist, (coll.) to calculate roughly; to estimate"
執,"to execute (a plan), to grasp"
榤,a stump on which chickens roost
洸,sparkling water
含,"to keep in the mouth, to contain"
親,"parent, one's own (flesh and blood), relative, related, marriage, bride, close, intimate, in person, first-hand, in favor of, pro-, to kiss, (Internet slang) dear; parents-in-law of one's offspring"
鉞,battle-ax
苑,"surname Yuan; (literary) enclosed area for growing trees, keeping animals etc; imperial garden; park, (literary) center (of arts, literature etc)"
鐸,surname Duo; large ancient bell
果,"fruit, result, resolute, indeed, if really; variant of 果[guo3], fruit"
謦,cough slightly
壤,"(bound form) soil; earth, (literary) the earth (contrasted with heaven 天[tian1])"
坦,"flat, open-hearted, level, smooth"
宖,N/A
述,(bound form) to state; to tell; to narrate; to relate
翌,"bright, tomorrow"
匯,"to remit, to converge (of rivers), to exchange"
龔,surname Gong
琁,"beautiful jade, star"
榜,"notice or announcement, list of names, public roll of successful examinees; (literary) oar, (metonym) boat, variant of 搒[bang4], (literary) to whip; to flog, Taiwan pr. [beng4]; variant of 搒[peng2]; variant of 榜[bang3]"
盱,"surname Xu; anxious, stare"
肯,"old variant of 肯[ken3]; to agree; to consent, to be willing to"
儼,"majestic, dignified"
莠,"Setaria viridis, vicious"
豊,"variant of 豐|丰[feng1]; ceremonial vessel, variant of 禮|礼[li3]"
温,"surname Wen; warm; lukewarm, to warm up, (bound form) temperature, (bound form) mild; soft; tender, to review (a lesson etc), (TCM) fever, epidemic; pestilence (old variant of 瘟[wen1])"
鸿,"eastern bean goose, great, large"
烽,beacon fire
影,"picture, image, film, movie, photograph, reflection, shadow, trace"
鄉,"country or countryside, native place, home village or town, township (PRC administrative unit)"
養,"to raise (animals), to bring up (children), to keep (pets), to support, to give birth"
僑,"emigrant, to reside abroad"
讓,"to yield, to permit, to let sb do sth, to have sb do sth, to make sb (feel sad etc), by (indicates the agent in a passive clause, like 被[bei4])"
綦,"dark gray, superlative, variegated"
鏘,tinkling of small bells
機,"surname Ji; (bound form) machine; mechanism, (bound form) aircraft, (bound form) an opportunity, (bound form) crucial point; pivot, (bound form) quick-witted; flexible, (bound form) organic"
李,surname Li; plum
涔,"overflow, rainwater, tearful"
淙,noise of water
九,"nine, 9"
四,"four, 4"
薔,used in 薔薇|蔷薇[qiang2 wei1]
彭,surname Peng
瑤,"Yao ethnic group of southwest China and southeast Asia, surname Yao; jade, precious stone, mother-of-pearl, nacre, precious, used a complementary honorific"
蕾,bud
爵,"ancient bronze wine holder with 3 legs and loop handle, nobility"
潭,"surname Tan; deep pool, pond, pit (dialect), depression"
勃,"flourishing, prosperous, suddenly, abruptly"
鍒,N/A
知,"to know, to be aware"
冀,"short name for Hebei 河北[He2 bei3], surname Ji; (literary) to hope for"
儷,husband and wife
憬,awaken
令,"used in 脊令[ji2 ling2], used in 令狐[Ling2 hu2] (Taiwan pr. [ling4]); classifier for a ream of paper; to order, to command, an order, warrant, writ, to cause, to make sth happen, virtuous, honorific title, season, government position (old), type of short song or poem"
祚,"blessing, the throne"
姝,pretty woman
開,"to open (transitive or intransitive), (of ships, vehicles, troops etc) to start, to turn on; to put in operation; to operate; to run, to boil, to write out (a prescription, check, invoice etc), (directional complement) away; off, carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format"
虢,"surname Guo, Guo, a kinship group whose members held dukedoms within the Zhou Dynasty realm, including Western Guo 西虢國|西虢国[Xi1 Guo2 guo2] and Eastern Guo 東虢國|东虢国[Dong1 Guo2 guo2]"
畇,reclaimed land
稔,"(literary) ripe grain; ripe; harvest; year, (literary) very familiar with; well acquainted with"
寳,variant of 寶|宝[bao3]
帛,silk
陳,"surname Chen, Chen (c. 1045 – 479 BC), a Zhou dynasty state, Chen (557–589), one of the Southern Dynasties 南朝[Nan2 Chao2]; (bound form) to lay out; to exhibit; to display, (bound form) to narrate; to state; to explain; to tell, old; stale"
吳,"surname Wu, area comprising southern Jiangsu, northern Zhejiang and Shanghai, name of states in southern China at different historical periods"
劉,"surname Liu; (classical) a type of battle-ax, to kill, to slaughter"
許,"surname Xu; to allow, to permit, to promise, to praise, somewhat, perhaps"
郭,surname Guo; outer city wall
邱,surname Qiu; variant of 丘[qiu1]
曾,"surname Zeng; once, already, ever (in the past), former, previously, (past tense marker used before verb or clause); great- (grandfather, grandchild etc)"
廖,surname Liao
賴,"surname Lai, (Tw) (coll.) LINE messaging app; to depend on, to hang on in a place, bad, to renege (on promise), to disclaim, to rat (on debts), rascally, to blame, to put the blame on"
徐,"surname Xu; slowly, gently"
蘇,"surname Su, abbr. for Soviet Union 蘇維埃|苏维埃[Su1 wei2 ai1] or 蘇聯|苏联[Su1 lian2], abbr. for Jiangsu 江蘇|江苏[Jiang1 su1], abbr. for Suzhou 蘇州|苏州[Su1 zhou1]; Perilla frutescens (Chinese basil or wild red basil), place name, to revive, used as phonetic in transliteration"
呂,"surname Lü; pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system"
何,"surname He; what, how, why, which, carry"
蕭,"surname Xiao; (old) Chinese mugwort, (bound form) desolate; dreary"
羅,"surname Luo; gauze, to collect, to gather, to catch, to sift"
潘,"surname Pan, Pan, faun in Greek mythology, son of Hermes"
簡,"simple, uncomplicated, letter, to choose, to select, bamboo strips used for writing (old)"
游,"surname You; to swim, variant of 遊|游[you2]; to walk, to tour, to roam, to travel"
詹,"surname Zhan; (literary) verbose, (literary) to arrive, to reach"
施,"surname Shi; (bound form) to put into effect (regulations etc), to distribute (alms etc), to apply (fertilizer etc)"
沈,surname Shen; variant of 沉[chen2]; short name for 瀋陽|沈阳[Shen3 yang2]; (literary) juice
余,"surname Yu; (literary) I; me, variant of 餘|余[yu2]; extra, surplus, remaining, remainder after division, (following numerical value) or more, in excess of (some number), residue (math.), after, I, me"
盧,"surname Lu, abbr. for Luxembourg 盧森堡|卢森堡[Lu2 sen1 bao3]; (old) rice vessel, black, old variant of 廬|庐[lu2], (slang) (Tw) troublesome, fussy"
梁,"Liang Dynasty (502–557), Later Liang Dynasty (907–923), surname Liang; roof beam, beam (structure), bridge; variant of 梁[liang2]"
趙,"surname Zhao, one of the seven states during the Warring States period (476–220 BC), the Former Zhao 前趙|前赵[Qian2 Zhao4] (304–329) and Later Zhao 後趙|后赵[Hou4 Zhao4] (319–350), states of the Sixteen Kingdoms; to surpass (old)"
顏,"surname Yan; color, face, countenance"
柯,"surname Ke; (literary) branch; stem; stalk, (literary) ax handle"
翁,"surname Weng; elderly man, father, father-in-law, neck feathers of a bird (old)"
魏,"surname Wei, name of a vassal state of the Zhou dynasty from 661 BC in Shanxi, one of the Seven Hero Warring States, Wei state, founded by Cao Cao 曹操[Cao2 Cao1], one of the Three Kingdoms after the Han dynasty, the Wei dynasty 221–265, Wei Prefecture or Wei County at various times in history; tower over a palace gateway (old)"
戴,"surname Dai; to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support"
范,"pattern, model, example; surname Fan"
宋,"surname Song, the Song dynasty (960–1279), Song of the Southern Dynasties (420–479) 南朝宋[Nan2 chao2 Song4]"
鄧,surname Deng
杜,"surname Du; birchleaf pear (tree), to stop, to prevent, to restrict"
侯,"surname Hou; marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4], nobleman; high official; used in 閩侯|闽侯[Min3 hou4] (the name of a place in Fujian)"
曹,"surname Cao, Zhou Dynasty vassal state; class or grade, generation, plaintiff and defendant (old), government department (old)"
薛,"surname Xue, vassal state during the Zhou Dynasty (1046–256 BC); wormwood like grass (classical)"
阮,"surname Ruan, small state during the Shang Dynasty (1600–1046 BC) located in the southeast of present-day Gansu Province; ruan, a four-stringed Chinese lute"
馬,"surname Ma, abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; horse, CL:匹[pi3], horse or cavalry piece in Chinese chess, knight in Western chess"
董,"surname Dong; to supervise, to direct, director"
古,"surname Gu; ancient, old, paleo-"
蔣,"surname Jiang, Chiang Kai-shek 蔣介石|蒋介石[Jiang3 Jie4 shi2]"
姚,"surname Yao; handsome, good-looking"
馮,"surname Feng; to gallop, to assist, to attack, to wade, great, old variant of 憑|凭[ping2]"
湯,"surname Tang; rushing current; soup, hot or boiling water, decoction of medicinal herbs, water in which sth has been boiled"
黄,"surname Huang or Hwang; yellow, pornographic, to fall through"
姜,surname Jiang; variant of 薑|姜[jiang1]; ginger
汪,"surname Wang; expanse of water, ooze, (onom.) bark, classifier for liquids: pool, puddle"
尤,"surname You; outstanding, particularly, especially, a fault, to express discontentment against"
鄒,"surname Zou, vassal state during the Zhou Dynasty (1046–256 BC) in the southeast of Shandong"
巫,"surname Wu, also pr. [Wu2]; witch, wizard, shaman, also pr. [wu2]"
涂,"to apply (paint etc), to smear, to daub, to blot out, to scribble, to scrawl, (literary) mud, street; surname Tu; variant of 途[tu2]"
嚴,"surname Yan; tight (closely sealed), stern, strict, rigorous, severe, father"
韓,"Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄, Korea from the fall of the Joseon dynasty in 1897, Korea, esp. South Korea 大韓民國|大韩民国, surname Han"
袁,surname Yuan; long robe (old)
童,surname Tong; child
陸,surname Lu; six (banker's anti-fraud numeral); (bound form) land (as opposed to the sea)
柳,surname Liu; willow; old variant of 柳[liu3]
凃,old variant of 涂[tu2]
夏,"the Xia or Hsia dynasty c. 2000 BC, Xia of the Sixteen Kingdoms (407–432), surname Xia; summer"
邵,"surname Shao, place name"
錢,"surname Qian; coin, money, CL:筆|笔[bi3], unit of weight, one tenth of a tael 兩|两[liang3]"
伍,"surname Wu; squad of five soldiers, to associate with, five (banker's anti-fraud numeral)"
倪,"surname Ni; (literary) small child, (literary) limit; bound; extremity, (literary) to differentiate, (literary) origin; cause"
溫,"surname Wen; warm; lukewarm, to warm up, (bound form) temperature, (bound form) mild; soft; tender, to review (a lesson etc), (TCM) fever, epidemic; pestilence (old variant of 瘟[wen1])"
駱,"surname Luo; camel, white horse with a black mane (archaic)"
譚,surname Tan; variant of 談|谈[tan2]
甘,"surname Gan, abbr. for Gansu Province 甘肅省|甘肃省[Gan1 su4 Sheng3]; (bound form) sweet; pleasant (contrasted with 苦[ku3]: bitter, unpleasant), to be willing (to do sth)"
熊,"surname Xiong; bear, (coll.) to scold; to rebuke, (coll.) weak; incapable"
毛,"surname Mao; hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
官,"surname Guan; government official, governmental, official, public, organ of the body, CL:個|个[ge4]"
顧,surname Gu; to look after; to take into consideration; to attend to
粘,"variant of 黏[nian2]; to glue; to paste, to adhere; to stick to"
饒,"surname Rao; rich, abundant, exuberant, to add for free, to throw in as bonus, to spare, to forgive, despite, although"
闕,"surname Que; used in place of 缺 (old), mistake; Imperial city watchtower (old), fault, deficiency"
崔,surname Cui; (literary) (of mountains) lofty
辛,"surname Xin; (of taste) hot or pungent, hard, laborious, suffering, eighth in order, eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1], letter ""H"" or Roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 285°, octa"
辜,"surname Gu; crime, sin"
陶,"surname Tao; pottery, pleased"
段,"surname Duan; paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc"
褚,"surname Chu; padding (in garment), to store up, pocket, Taiwan pr. [chu3]"
麥,"surname Mai; wheat; barley; oats, mic (abbr. for 麥克風|麦克风[mai4 ke4 feng1])"
莫,"surname Mo; do not, there is none who"
賈,"surname Jia; merchant, to buy"
管,"variant of 管[guan3]; surname Guan; to take care (of), to control, to manage, to be in charge of, to look after, to run, to care about, tube, pipe, woodwind, classifier for tube-shaped objects, particle similar to 把[ba3] in 管...叫 constructions, writing brush, (coll.) to, towards"
關,"surname Guan; mountain pass, to close; to shut; to turn off, to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc), to concern; to involve"
包,"surname Bao; to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个[ge4],隻|只[zhi1]"
裴,surname Pei; (of a garment) long and flowing; variant of 裴[pei2]
樊,surname Fan; (literary) fence
房,"surname Fang; house, room, CL:間|间[jian1], branch of an extended family, classifier for family members (or concubines)"
佘,surname She
左,"surname Zuo; left, the Left (politics), east, unorthodox, queer, wrong, differing, opposite, variant of 佐[zuo3]"
魯,"surname Lu, Lu, an ancient state of China 魯國|鲁国[Lu3 guo2], Lu, short name for Shandong 山東|山东[Shan1 dong1]; (bound form) crass, stupid, rude, (used to represent the sounds of ""ru"", ""lu"" etc in loanwords)"
塗,"to apply (paint etc), to smear, to daub, to blot out, to scribble, to scrawl, (literary) mud, street"
鮑,surname Bao; abalone
郝,"ancient place name, surname Hao"
邢,"surname Xing, place name"
練,"to practice, to train, to drill, to perfect (one's skill), exercise, (literary) white silk, to boil and scour raw silk"
閻,surname Yan (sometimes written 閆|闫[Yan2] in recent years); (literary) the gate of a lane
鄔,"surname Wu, ancient place name"
符,"surname Fu; mark, sign, talisman, to seal, to correspond to, tally, symbol, written charm, to coincide"
解,"surname Xie; to divide, to break up, to split, to separate, to dissolve, to solve, to melt, to remove, to untie, to loosen, to open, to emancipate, to explain, to understand, to know, a solution, a dissection; to transport under guard; acrobatic display (esp. on horseback) (old), variant of 懈[xie4] and 邂[xie4] (old)"
繆,surname Miao; variant of 謬|谬[miu4]; used in 綢繆|绸缪[chou2 mou2]; old variant of 穆[mu4]
聶,surname Nie; to whisper
曲,"surname Qu; bent, crooked, wrong; tune, song, CL:支[zhi1]; variant of 麴|曲[qu1]; fermentation starter; leaven (molds, yeasts or bacteria used in fermenting soy products or brewing etc), Taiwan pr. [qu2]"
籃,"basket (receptacle), basket (in basketball)"
單,"surname Shan; used in 單于|单于[chan2 yu2]; bill, list, form, single, only, sole, odd number, CL:個|个[ge4]"
畢,"surname Bi; the whole of, to finish, to complete, complete, full, finished"
留,"old variant of 留[liu2]; to leave (a message etc), to retain, to stay, to remain, to keep, to preserve"
鄞,"used in 鄞州[Yin2 zhou1], a district in Zhejiang"
翟,"surname Di, variant of 狄[Di2], generic name for northern ethnic minorities during the Qin and Han Dynasties (221 BC-220 AD); surname Zhai; long-tail pheasant"
牛,"surname Niu; ox, cow, bull, CL:條|条[tiao2],頭|头[tou2], newton (abbr. for 牛頓|牛顿[niu2 dun4]), (slang) awesome"
龎,"variant of 龐|庞[pang2], huge, enormous"
覃,surname Qin; surname Tan; deep
